student_id,name,dept_id,cgpa,phone
ECE0011001,Arjun,ECE001,8.3,9876543210
ECE0011002,Kumar,ECE001,4.0,9876552435
ECE0011003,Rohit,ECE001,9.0,9876552435
ECE0011004,Singh,ECE001,4.5,9876452435
ECE0011005,Kavya,ECE001,6.0,9992932435
ECE0011006,Nair,ECE001,9.0,9992932121
ECE0011007,Vignsh,ECE001,8.0,9883293212
ECE0011008,John,ECE001,8.8,9883966655
ECE0011009,Sneha,ECE001,5.0,9883912123
ECE0011010,Akash,ECE001,9.6,9883983835
CSE0021001,Prasanna,CSE002,8.1,9876523415
CSE0021002,Kavitha,CSE002,4.3,9876523937
CSE0021003,Suresh,CSE002,7.2,9283734632
CSE0021004,Hema,CSE002,8.9,9283734567
CSE0021005,Ramesh,CSE002,6.0,9283709876
CSE0021006,Meena,CSE002,7.0,9283734568
CSE0021007,Dilip,CSE002,7.6,9283723478
CSE0021008,Anitha,CSE002,9.3,9283723478
CSE0021009,Jayanth,CSE002,6.0,9283782376
CSE0021010,Parvathi,CSE002,7.0,9283793827
BME0031001,Sathish,BME003,7.6,9876541023
BME0031002,Kumar,BME003,9.0,9993727345
BME0031003,Renuka,BME003,5.6,7895643212
BME0031004,Devi,BME003,7.8,7895667890
BME0031005,Manoj,BME003,8.5,1234567890
BME0031006,Anitha,BME003,7.8,9837462733
BME0031007,Muthuvel,BME003,6.8,9837409876
BME0031008,Saravanan,BME003,9.8,4568789234
BME0031009,Gayathri,BME003,9.1,7899877856
BME0031010,Raj,BME003,9.1,9879875634
IT0041001,Kalidas,IT004,7.6,9876012390
IT0041002,Shanthi,IT004,8.0,9876543212
IT0041003,Dinesh,IT004,9.0,9876975678
IT0041004,Priya,IT004,7.6,9876973423
IT0041005,Raja,IT004,4.0,9876912345
IT0041006,Vidhya,IT004,7.9,9876912365
IT0041007,Murugan,IT004,6.0,9876909876
IT0041008,Archana,IT004,6.8,9876912345
IT0041009,Yuvaraj,IT004,6.9,9876912389
IT0041010,Harini,IT004,8.7,9876912329
MECH0051001,Bala Chandran,MECH005,6.0,9876543102
MECH0051002,Bala Malathi S,MECH005,7.0,9876543215
MECH0051003,Kannan R,MECH005,8.0,6432765543
MECH0051004,Chitra P,MECH005,6.7,6432545632
MECH0051005,Harinath V,MECH005,6.9,6432512345
MECH0051006,Roja M,MECH005,8.7,6432554321
MECH0051007,Rajesh,MECH005,7.9,6432512345
MECH0051008,Subiksha,MECH005,6.5,6432509876
MECH0051009,Vignesh,MECH005,9.0,6432509878
MECH0051010,Abinaya,MECH005,9.0,6432567890
